name,town,state,operator,usage_type,power_kw,connectors,lat,long
Hotel Athira Residency EVCS - GO EC,Kottayam,Kerala,GO EC (IN),Public - Membership Required,,CCS (Type 2),9.578258767585766,76.51947056358193
The Windsor Castle Hotel,Kottayam,Kerala,Zeon Charging,Public - Membership Required,,CCS (Type 2),9.571548200477338,76.51936940989242
Charge n Fresh EVCS - ChargeMOD,Kottayam,Kerala,ChargeMod (IN),Public - Membership Required,,"CEE 3 Pin, CCS (Type 2)",9.586257488209199,76.58841522125499
Poojari’s Nirantara," Jayapura, Mysuru",Karnataka ,Zeon Charging,Public,,CCS (Type 2),12.14124,76.50854
IOCL - MK Petroleum - Tata Power,Thazhe Chovva,Kerala,Tata Power,Public - Membership Required,,CCS (Type 2),11.860150179085252,75.41434121644008
Koodali SCB,Kannur,Kerala,Zeon Charging,Public - Membership Required,,CCS (Type 2),11.927016595657648,75.50042206155453
Tata.ev KVR Dreams Kannur - Tata Power,Kannur ,Kerala,Tata Power,Public - Membership Required,,CCS (Type 2),11.860830340847158,75.41186777793837
Mandrin Sky - GO EC,Kannur,Kerala,GO EC (IN),Public - Membership Required,,CEE 3 Pin,11.927559724028896,75.50047314663138
EQ Vagamon EV Port - ChargeMOD,Vagamon,Kerala,ChargeMod (IN),Public - Membership Required,,"CEE 3 Pin, CCS (Type 2)",9.68430398680107,76.89548263873428
Pallam KSEB EVCS - ChargeMOD,Pallom,Kerala,ChargeMod (IN),Public - Membership Required,,"GB-T DC - GB/T 20234.3, CCS (Type 2), CEE 3 Pin, CHAdeMO",9.543064906573704,76.51423132822606
Amma Restaurant,Alappuzha,Kerala,ChargeMod (IN),Public - Membership Required,,CCS (Type 2),9.519932044528943,76.32752164445753
Cassia Restaurant,Alappuzha,Kerala,Zeon Charging,Public - Membership Required,,CCS (Type 2),9.518713883149715,76.32748515490442
Kannur H&H,Melechowa,Kerala,GO EC (IN),Public - Membership Required,,CCS (Type 2),11.87166370155964,75.39598586155216
Sri Kongu Bakes,Perundurai,Tamil Nadu,Zeon Charging,Public,,"CCS (Type 2), IEC 60309 3-pin",11.28353,77.55823
Thankamanys EV Fast Charging Station - ChargeMOD,Alappuzha,Kerala,ChargeMod (IN),Public - Membership Required,,CCS (Type 2),9.505147465480917,76.32832598188742
Nandanam EVCS - GO EC,Kodungoor,Kerala,GO EC (IN),Public - Membership Required,,CCS (Type 2),9.56707472944133,76.70609404363415
G Mall - GO EC,Kannur,Kerala,GO EC (IN),Public - Membership Required,,CCS (Type 2),11.88020074722374,75.3746647850135
Cassia Regency EVCS - GO EC,Alappuzha,Kerala,GO EC (IN),Public - Membership Required,,"CEE 3 Pin, CCS (Type 2)",9.490169816576028,76.3207371647539
Manjapalam KSEB EVCS - ChargeMOD,Kannur,Kerala,ChargeMod (IN),Public - Membership Required,,"GB-T DC - GB/T 20234.3, Type 2 (Tethered Connector) , CCS (Type 2), CHAdeMO",11.878368279471403,75.35952615318283
Clay Art Cafe - GO EC,Ponkunnam,Kerala,GO EC (IN),Public - Membership Required,,"CEE 3 Pin, CCS (Type 2)",9.566378511526395,76.74160751395914
Urs Kar,Gonikoppa,Karnataka,Zeon Charging,Public,,CCS (Type 2),12.17768,75.90516
Westgate Inn EVCS - GO EC,Kattappana,Kerala,GO EC (IN),Public - Membership Required,,CCS (Type 2),9.747617293321468,77.10541770305377
Kodagu Planter's Club,Gonikoppa,Karnataka,JIO BP Pulse (India),Public,,CCS (Type 2),12.18078,75.91345
Pathalil EVCS - Charge MOD,Nedumkunnam,Kerala,ChargeMod (IN),Public - Membership Required,,CCS (Type 2),9.506164435852696,76.65233361498815
Ambatty Greens Resort,Virajpet,Karnataka,Tata Power,Public,,"Type 2 (Tethered Connector) , CCS (Type 2), CHAdeMO",12.18228,75.828
Changanassery Immaculate Mary EVCS,Changanassery,Kerala,GO EC (IN),Public - Membership Required,,"CEE 3 Pin, CCS (Type 2)",9.459860217939863,76.55518358905402
Kanthari Restaurants,Changanassery,Kerala,Zeon Charging,Public - Membership Required,,CCS (Type 2),9.455165469662148,76.54242382238897
JJ E Fills - ChargeMOD,Changanassery,Kerala,ChargeMod (IN),Public - Membership Required,,"CEE 3 Pin, CCS (Type 2)",9.45225032580369,76.54723889833599
Punnapra KSEB EVCS - ChargeMOD,Punnapra,Kerala,ChargeMod (IN),Public - Membership Required,,"CEE 3 Pin, CCS (Type 2), GB-T DC - GB/T 20234.3",9.42561690304693,76.34677264043893
RD Cinemas,Mundakkayam,Kerala,Zeon Charging,Public - Membership Required,,CCS (Type 2),9.544093022031731,76.87733542382585
"Milky Mist Cafe, Erode Sathy Highway",Erode,Tamil Nadu ,Zeon Charging,Public,,CCS (Type 2),11.3998,77.62536
160kW GREEN ENERGY EV CHARGING STATION,Changanassery,Kerala,(Unknown Operator),Public - Pay At Location,,"CCS (Type 2), Unknown",9.437442172035318,76.54200920369158
Victory Tata,Erode,Tamil Nadu,Zeon Charging,Public,,CCS (Type 2),11.31239,77.66505
Open Kitchen EVCS - GO EC,Kuttikkanam,Kerala,GO EC (IN),Public - Membership Required,,"CEE 3 Pin, CCS (Type 2)",9.580204298452543,76.97061172783384
Shell Recharge Mandakalli,Gudumadanahalli,Karnataka,Shell Recharge (IN),Public,,CCS (Type 2),12.24523,76.65978
PCR Bank EVCS - ChargeMOD,Bakkalam,Kerala,ChargeMod (IN),Public - Membership Required,,"CEE 3 Pin, CCS (Type 2)",11.997449451910612,75.37090752986185
Texvalley,Erode,Tamil Nadu,Zeon Charging,Public,,"CCS (Type 2), Type 2 (Tethered Connector) , IEC 60309 3-pin",11.37172,77.64731
Wealfro EV Hub,Thiruvalla,Kerala,ChargeMod (IN),Public - Membership Required,,CCS (Type 2),9.42107626726309,76.54613416788874
Club Mahindra Resort - Virajpet,Virajpet,Karnataka,Zeon Charging,"Private - For Staff, Visitors or Customers",,Type 2 (Tethered Connector) ,12.20992,75.73586
GO EC Charging Station,Idukki,Kerala,GO EC (IN),Public - Membership Required,,"CEE 3 Pin, CCS (Type 2)",9.665398819574932,77.16084695044691
"Urs Kar, Krishnamurthy Puram",Mysuru,Karnataka,Tata Power,Public,,"CCS (Type 2), CHAdeMO",12.29519,76.6415
Mall Of Mysore,Mysuru,Karnataka,Zeon Charging,Public,,CCS (Type 2),12.2977,76.66446
Iongrid EV Spark - ChargeMOD,Edathwa,Kerala,ChargeMod (IN),Public - Membership Required,,"CEE 3 Pin, Type 2 (Tethered Connector) , CCS (Type 2)",9.367525880261468,76.49951805750726
Hotel Elite,Mallinathapura,Karnataka,Statiq (IN),Public,,CCS (Type 2),12.3459,76.43309
Anand Hypermarket - ChargeMOD,Thiruvalla,Kerala,ChargeMod (IN),Public - Membership Required,,CCS (Type 2),9.373321982204288,76.56481064983558
Shepra Farms,Kollegala,Karnataka,Zeon Charging,Public,,CCS (Type 2),12.13427,77.07437
The Quorum Hotel,Mysuru,Karnataka,ChargeMod (IN),"Private - For Staff, Visitors or Customers",,Type 2 (Tethered Connector) ,12.31223,76.64067
Southern Star Mysore,Mysuru,Karnataka ,Tata Power,Public,,CCS (Type 2),12.31169,76.64328
Hotel Siddharta,Mysuru,Karnataka,Rebolt (IN),Public,,CCS (Type 2),12.30853,76.66071
Sora EVCS - GO EC,Kumali,Kerala,GO EC (IN),Public - Membership Required,,CCS (Type 2),9.614445835422885,77.15390991011253
MG Motor Mysuru,Mysuru,Karnataka,Tata Power,Public,,CCS (Type 2),12.3257,76.61038
"Urs Cars, Hinkal",Mysuru,Karnataka,Zeon Charging,Public,,CCS (Type 2),12.32742,76.60886
Shell Recharge Hinkal,Mysuru,Karnataka,Shell Recharge (IN),Public,,CCS (Type 2),12.3279,76.60826
Nagalakshmi Fuel Station,Mysuru,Karnataka,Statiq (IN),Public,,CCS (Type 2),12.30446,76.70639
Adarsh Kia - Mysore,Mysuru,Karnataka,Tata Power,Public,,CCS (Type 2),12.30706,76.70759
Nexus Centre City,Mysuru,Karnataka,Statiq (IN),Public,,"Type 2 (Tethered Connector) , CCS (Type 2)",12.31857,76.66539
"#1043, 11th cross",mysore,karnataka,(Unknown Operator),Public - Membership Required,,Type 2 (Socket Only),12.335348865021999,76.62012790912104
Kannada Parisath Road,Mysuru,Karnataka,(Unknown Operator),Public - Membership Required,,Unknown,12.336275917196616,76.61874659765198
Grand Mercure Mysore,Mysuru,Karnataka,Zeon Charging,Public,,"Type 2 (Tethered Connector) , CCS (Type 2)",12.3307,76.64479
Shell Recharge Advaith Hyundai Mysuru ,Mysuru,Karnataka,Shell Recharge (IN),Public,,CCS (Type 2),12.34912,76.57168
Club Mahindra Resort - Thekkadi,Kumali,Kerala,Zeon Charging,"Private - For Staff, Visitors or Customers",,Type 2 (Tethered Connector) ,9.603436669871357,77.17154785062633
Quick Charge EVCS - ChargeMOD,Karuvatta,Kerala,ChargeMod (IN),Public - Membership Required,,"CEE 3 Pin, Type 2 (Tethered Connector) , CCS (Type 2)",9.315750048885036,76.40122120264317
"Urs Kar Service Centre Pvt Ltd, Hebbal",Mysuru,Karnataka,Zeon Charging,Public,,CCS (Type 2),12.35354,76.61858
Zeon 24KW Kyathasandra,Kyathasandra,Karnataka,Zeon Charging,Public,,CCS (Type 2),10.081199096245427,77.63011747389908
Amrutham Auto Care EVCS - GO EC,Chengannur,Kerala,GO EC (IN),Public - Membership Required,,"CEE 3 Pin, CCS (Type 2)",9.342144722861462,76.59848783947041
Hotel Arcore,Mysuru,Karnataka,Zeon Charging,Public,,CCS (Type 2),12.352687402465657,76.62920329960255
Ganapati Fuel Station,Mysuru,Karnataka,Statiq (IN),Public,,CCS (Type 2),12.35048,76.63894
V Charge Hub - ChargeMOD,Karuvatta,Kerala,ChargeMod (IN),Public - Membership Required,,"CEE 3 Pin, Type 2 (Tethered Connector) , CCS (Type 2)",9.31425028332201,76.42910773148486
GRS Fantasy Park,Mysuru,Karnataka,Statiq (IN),Public,,"Type 2 (Tethered Connector) , CCS (Type 2)",12.35317,76.6357
Ibis Styles Mysuru,Mysuru,Karnataka,Zeon Charging,Public,,CCS (Type 2),12.35753,76.62834
Manipal Hospital Mysore,Mysuru,Karnataka ,Zeon Charging,Public,,CCS (Type 2),12.350145879658738,76.66019890702132
Akshaya Motors,Mysuru,Karnataka,Chargezone (India),Public,,CCS (Type 2),12.35941,76.62151
Hotel Four Seasons,Kundanahalli,Karnataka,Statiq (IN),Public,,CCS (Type 2),12.38309,76.03155
Adyar Ananda Bhavan,Thennilai,Tamil Nadu,(Unknown Operator),Public,,CCS (Type 2),10.95696,77.85174
The Rove Kodagu,Napoklu,Karnataka,JIO BP Pulse (India),Public,,CCS (Type 2),12.30143,75.67671
Siri Ambari Resorts and Spa,Manchadevanahalli,Karnataka ,Statiq (IN),Public,,CCS (Type 2),12.40038,76.01705
V Volte EVCS - GO EC,Haripad,Kerala,GO EC (IN),Public - Membership Required,,"CEE 3 Pin, CCS (Type 2)",9.289000834095233,76.45653569251749
Quik Energy EVCS - GO EC,Chengannur,Kerala,GO EC (IN),Public - Membership Required,,"CEE 3 Pin, CCS (Type 2)",9.311533026822985,76.62272052601361
Mannil Green Solutions,Mavelikkara,Kerala,Zeon Charging,Public - Membership Required,,CCS (Type 2),9.283238233518844,76.53084010596456
PTC Arcade - ChargeMOD,Chengannur,Kerala,ChargeMod (IN),Public - Membership Required,,"CEE 3 Pin, CCS (Type 2)",9.301293402436599,76.63077878361094
Exit 17 - GO EC,Payyannur,Kerala,GO EC (IN),Public - Membership Required,,"CEE 3 Pin, CCS (Type 2)",12.088637731621432,75.25264584630855
Muzhangodayil EVCS - ChargeMOD,Harippad,,ChargeMod (IN),Public - Membership Required,,CCS (Type 2),9.251673852976054,76.48723263635628
Phills Hub - Zeon,Pathanamthitta,Kerala,Zeon Charging,Public - Membership Required,,CCS (Type 2),9.316719270744642,76.80097101612563
Phills Hub EVCS - ChargeMOD,Pathanamthitta,Kerala,ChargeMod (IN),Public - Membership Required,,CCS (Type 2),9.316652369390567,76.80090226904508
Aravai Aanandas,Karur,Tamil Nadu,Hydra Charging (IN),Public - Membership Required,,CCS (Type 2),10.777439,77.920825
Green Plug EVCS - ChargeMOD,Chengannur,Kerala,ChargeMod (IN),Public - Membership Required,,CCS (Type 2),9.271844657077722,76.65508788685014
Tata Motors - URS KAR,Guddehosuru,Karnataka,Zeon Charging,Public,,CCS (Type 2),12.44616,75.93032
EVOK Pathanamthitta - ChargeMOD,Pathanamthitta,Kerala,ChargeMod (IN),Public - Membership Required,,CCS (Type 2),9.306222052286827,76.80366578189017
Purple Palms Resort & Spa,Kushalnagar,Karnataka,Zeon Charging,Public,,CCS (Type 2),12.44734,75.93211
KVR Dream Vehicles Service Center - Tata Power,Payyanur,Kerala,Tata Power,Public - Membership Required,,CCS (Type 2),12.120003262388039,75.21755451244977
Pamba KSEB EVCS - ChargeMOD,Pamba,Kerala,ChargeMod (IN),Public - Membership Required,,"CEE 3 Pin, CCS (Type 2), GB-T DC - GB/T 20234.3",9.412378118693468,77.069968563425
Askar EV - ChargeMOD,Mavelikkara,Kerala,ChargeMod (IN),Public - Membership Required,,CCS (Type 2),9.23250558016045,76.53790278235039
SS Hyundai - ChargeZone,Pathanamthitta,Kerala,Chargezone (India),Public - Membership Required,,CCS (Type 2),9.27774492539669,76.75468311365398
Church Side Bar & Restuarant,Madikeri,Karnataka,Tata Power,Public,,"CCS (Type 2), CHAdeMO",12.41887,75.74048
Mathil Service Co-Operative Bank EVCS - ChargeMOD,Mathil,Kerala,ChargeMod (IN),Public - Membership Required,,"CEE 3 Pin, Type 2 (Tethered Connector) , CCS (Type 2)",12.176970146284106,75.24675579831333
Evergreen Continental EVCS - GO EC,Pathanamthitta,Kerala,GO EC (IN),Public - Membership Required,,CCS (Type 2),9.26377680925411,76.7854352998848
EQ Point EVCS - ChargeMOD,Payyannur,Kerala,ChargeMod (IN),Public - Membership Required,,"CEE 3 Pin, CCS (Type 2)",12.207766235160378,75.27945212654578
Anjaly EVCS - GO EC,Omallor,Kerala,GO EC (IN),Public - Membership Required,,"CEE 3 Pin, CCS (Type 2)",9.246935401622352,76.75730779092834
Cartist - GO EC,Kayamkulam,Kerala,GO EC (IN),Public - Membership Required,,"CEE 3 Pin, Type 2 (Tethered Connector) , CCS (Type 2)",9.184739728702354,76.49029683829167
Club Mahindra Madikeri,Madikeri,Karnataka,Zeon Charging,"Private - For Staff, Visitors or Customers",,Type 2 (Tethered Connector) ,12.440927112565277,75.71641034319009
Artemis EV Super Charger - ChargeMOD,Mavelikkara,Kerala,ChargeMod (IN),Public - Membership Required,,"CEE 3 Pin, CCS (Type 2)",9.198881109408163,76.60017650492466
V-Net Shopping Complex - Tata Power,Payyannur,Kerala,Tata Power,Public - Membership Required,,CCS (Type 2),12.175048478868092,75.1934333250936
GDM Auditorium - ChargeZone,Kayamkulam,Kerala,Chargezone (India),Public - Membership Required,,CCS (Type 2),9.169962388825738,76.49808791886016
Taj Madikeri Resort & Spa,Madikeri,Karnataka,Tata Power,Public,,CCS (Type 2),12.44606,75.68499
ANERT EESL Milma Diary Plant - EESL,Pathanamthitta ,Kerala,EESL (IN),Public - Membership Required,,"Type 2 (Tethered Connector) , CCS (Type 2), CHAdeMO",9.218788691780205,76.74875398321973
Jio BP Dindigul,Thadikombu,Tamil Nadu,JIO BP Pulse (India),Public,,CCS (Type 2),10.42633,77.95391
A.R. Fuels,Thadikombu,Tamil Nadu,Statiq (IN),Public,,CCS (Type 2),10.42743,77.95434
Sparkzone EVCS - GO EC,Kayamkulam,Kerala,GO EC (IN),Public - Membership Required,,"CEE 3 Pin, CCS (Type 2)",9.14579459592612,76.45936322492247
Saviruchi Veg,Malavalli,Karnataka,Statiq (IN),Public,,CCS (Type 2),12.38494,77.05314
ANERT EESL - KTDC Aahar Restaurant ,Kayamkulam,Lerala,EESL (IN),Public - Membership Required,,"Type 2 (Tethered Connector) , CCS (Type 2), CHAdeMO",9.149021955063077,76.5129182302341
Anaswara Jewellers EVCS - ChargeMOD,Konni,Kerala,ChargeMod (IN),Public - Membership Required,,CCS (Type 2),9.229128424494249,76.84839128111668
EQ Power Buzz EVCS - ChargeMOD,Paranthal,Kerala,ChargeMod (IN),Public - Membership Required,,"CEE 3 Pin, CCS (Type 2)",9.187183740570958,76.70929549578068
Adhithya Green Power - ChargeMOD,Paranthal,Kerala,ChargeMod (IN),Public - Membership Required,,CCS (Type 2),9.180307946017876,76.70896676308257
Vel Saravana bhavan,Dindigul,Tamil Nadu,Zeon Charging,Public,,CCS (Type 2),10.386,77.96756
Bharat Petroleum e-charge station,Chinnalapatti,Tamil Nadu,Statiq (IN),Public,,CCS (Type 2),10.2998,77.9413
Hotel PVK Grand,Dindigul,Tamil Nadu,(Unknown Operator),Public - Pay At Location,,"Type 2 (Tethered Connector) , CCS (Type 2)",10.3741,77.96772
Zufo EVCS,Karunagappalli,Kerala,GO EC (IN),Public - Membership Required,,CCS (Type 2),9.132307411349302,76.51385828713245
Adyar Ananda Bhavan,Dindigul,Tamil Nadu,(Unknown Operator),Public,,CCS (Type 2),10.33668,77.95701
Royale Regency (EVOK) - ChargeMOD,Ochira,Kerala,ChargeMod (IN),Public - Membership Required,,CCS (Type 2),9.130625595290141,76.51429714499989
SR Auto Zone - ChargeMOD,Adoor,Kerala,ChargeMod (IN),Public - Membership Required,,CCS (Type 2),9.162499405108221,76.71051677559518
Udupi Utsav,Sundahalli,Karnataka,Tata Power,Public,,CCS (Type 2),12.50535,76.83215
Wyte Portico Hotel,Adoor,Kerala,Zeon Charging,Public - Membership Required,,CCS (Type 2),9.161947571551806,76.72149631338965
VSB Auto Care,Karur,Tamil Nadu,Relux Electric (India),Public - Membership Required,,CCS (Type 2),10.964214297245903,78.04655560696892
AKR Textiles,Karur,Tamil Nadu,Zeon Charging,Public - Membership Required,,CCS (Type 2),10.963961710013322,78.0480420514914
Ammas Fast - ChargeMOD,Cheruvathur,Kerala,ChargeMod (IN),Public - Membership Required,,"Type 2 (Tethered Connector) , CCS (Type 2)",12.227200225146419,75.15911993928029
Green Earth - GO EC,Adoor,Kerala,GO EC (IN),Public - Membership Required,,"CEE 3 Pin, CCS (Type 2)",9.153564153649185,76.73554436189625
"Kaveri Garage, Seelapadi",Dindugal,Tamil Nadu,Zeon Charging,Public,,CCS (Type 2),10.38031,77.99536
Subbanna Hotel,Karur,Tamil Nadu,Zeon Charging,Public - Membership Required,,CCS (Type 2),10.95773,78.06033
RK Mess & Restaurant,Manmangalam,Tamil Nadu,Statiq (IN),Public - Membership Required,,CCS (Type 2),11.044939,78.055861
Saravana Bhavan,Vaigundam,Tamil Nadu,(Unknown Operator),Public,,CCS (Type 2),11.519422436107646,77.93477088670943
Sri Nathi Restaurant,Paramathi,Tamil Nadu,(Unknown Operator),Public,,CCS (Type 2),11.17039,78.03892
The True Saai Works Karur,Karur,Tamil Nadu,Tata Power,Public,,CCS (Type 2),10.97867,78.06428
11 to 11 Family Restaurant,Karur,Tamil Nadu,GO EC (IN),Public - Membership Required,,CCS (Type 2),11.012148322555575,78.06795342843543
Peninsula Park Residency EVCS - GO EC,Adoor,Kerala,GO EC (IN),Public - Membership Required,,CCS (Type 2),9.145305964259492,76.76585838641842
Kailash Bhavan,Clappana,Kerala,Midgard Electric,Privately Owned - Notice Required,,CEE 3 Pin,9.08818839762424,76.485887744861
Bolt.Earth Charging Station,Bharathi Nagara,Karnataka,Bolt.Earth (IN),Public,,CCS (Type 2),12.48172,77.03598
JB Power EVCS - GO EC,Adoor,Kerala,GO EC (IN),Public - Membership Required,,"CEE 3 Pin, CCS (Type 2)",9.116847049005273,76.74511188165377
Sri Venkateshwara Auto Fuels,Karur,Tamil Nadu,Statiq (IN),Public,,CCS (Type 2),10.90851,78.10009
Hotel Eden Garden,Pandiarajapuram,Tamil Nadu,Tata Power,Public,,CCS (Type 2),10.11237,77.93769
"Sree Saravana Bhavan, Sankagiri",Sangagiri,Tamil Nadu,Zeon Charging,Public,,CCS (Type 2),11.4866,77.99226
Hotel Indraprastha - ChargeZone,Karunagappalli,Kerala,Chargezone (India),Public - Membership Required,,CCS (Type 2),9.052355042165445,76.5354608083407
Best EVCS - ChargeMOD,Karunagappalli,Kerala,Chargezone (India),Public - Membership Required,,CCS (Type 2),9.046053009129778,76.53663078070491
Relux 25KW Chidambaram,Chidambaram, Tamil Nadu,(Unknown Operator),Public - Membership Required,,CCS (Type 2),11.485037495015149,78.01971132004519
chargemod 30kw Amoha hotel, Tiruvannamalai, Tamil Nadu,(Unknown Operator),Public,,CCS (Type 2),11.485037495015149,78.01971132004519
Hotel Temple City,Thathampatti,Tamil Nadu,Zeon Charging,Public,,CCS (Type 2),10.07991,77.97778
Erathu Motors EVCS - GO EC,Puthoor,Kerala,GO EC (IN),Public - Membership Required,,"CEE 3 Pin, CCS (Type 2)",9.051367403391126,76.70324696297251
Raj Residency - Zeon,Kanhangad,Kerala,Zeon Charging,Public - Membership Required,,CCS (Type 2),12.304241742478752,75.09704178085582
Delight Launch Cafe - ChargeMOD,Kottarakkara,Kerala,ChargeMod (IN),Public - Membership Required,,"CEE 3 Pin, CCS (Type 2)",9.059350297189397,76.76600396907929
SK EVCS - GO EC,Pathanapuram,Kerala,GO EC (IN),Public - Membership Required,,"CEE 3 Pin, CCS (Type 2)",9.070991645604138,76.8563112284703
Vrindavan EVCS - GO EC,Inchakkad,Kerala,GO EC (IN),Public - Membership Required,,"CEE 3 Pin, CCS (Type 2)",9.045128433314076,76.77360003943176
Kanhangad KSEB EVCS - ChangeMOD,Kanhangad,Kerala,ChargeMod (IN),Public - Membership Required,,"CEE 3 Pin, CCS (Type 2), GB-T DC - GB/T 20234.3",12.34250549258168,75.11266367140311
